ENTREZ_GENE_ID	Name	Species
57513	CASK interacting protein 2(CASKIN2)	Homo sapiens
245929	defensin beta 115(DEFB115)	Homo sapiens
8367	histone cluster 1 H4 family member e(HIST1H4E)	Homo sapiens
8370	histone cluster 2 H4 family member a(HIST2H4A)	Homo sapiens
57523	NYN domain and retroviral integrase containing(NYNRIN)	Homo sapiens
8372	hyaluronoglucosaminidase 3(HYAL3)	Homo sapiens
57530	cingulin(CGN)	Homo sapiens
57531	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1(HACE1)	Homo sapiens
8379	MAD1 mitotic arrest deficient like 1(MAD1L1)	Homo sapiens
57532	NUFIP2, FMR1 interacting protein 2(NUFIP2)	Homo sapiens
114876	oxysterol binding protein like 1A(OSBPL1A)	Homo sapiens
189	alanine-glyoxylate aminotransferase(AGXT)	Homo sapiens
8382	NME/NM23 family member 5(NME5)	Homo sapiens
190	nuclear receptor subfamily 0 group B member 1(NR0B1)	Homo sapiens
191	adenosylhomocysteinase(AHCY)	Homo sapiens
57536	KIAA1328(KIAA1328)	Homo sapiens
147650	sperm acrosome associated 6(SPACA6)	Homo sapiens
57541	zinc finger protein 398(ZNF398)	Homo sapiens
57542	kelch like family member 42(KLHL42)	Homo sapiens
90313	tumor protein p53 inducible protein 13(TP53I13)	Homo sapiens
57547	zinc finger protein 624(ZNF624)	Homo sapiens
8398	phospholipase A2 group VI(PLA2G6)	Homo sapiens
147660	zinc finger protein 578(ZNF578)	Homo sapiens
207	AKT serine/threonine kinase 1(AKT1)	Homo sapiens
114897	C1q and tumor necrosis factor related protein 1(C1QTNF1)	Homo sapiens
208	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
57554	leucine rich repeat containing 7(LRRC7)	Homo sapiens
221393	adhesion G protein-coupled receptor F4(ADGRF4)	Homo sapiens
8403	SRY-box 14(SOX14)	Homo sapiens
114898	C1q and tumor necrosis factor related protein 2(C1QTNF2)	Homo sapiens
211	5'-aminolevulinate synthase 1(ALAS1)	Homo sapiens
212	5'-aminolevulinate synthase 2(ALAS2)	Homo sapiens
114900	C1q and tumor necrosis factor related protein 4(C1QTNF4)	Homo sapiens
245973	ATPase H+ transporting V1 subunit C2(ATP6V1C2)	Homo sapiens
57559	STAM binding protein like 1(STAMBPL1)	Homo sapiens
245972	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens
57561	arrestin domain containing 3(ARRDC3)	Homo sapiens
8409	ubiquitously expressed prefoldin like chaperone(UXT)	Homo sapiens
114904	C1q and tumor necrosis factor related protein 6(C1QTNF6)	Homo sapiens
218	aldehyde dehydrogenase 3 family member A1(ALDH3A1)	Homo sapiens
57563	kelch like family member 8(KLHL8)	Homo sapiens
8412	breast cancer anti-estrogen resistance 3(BCAR3)	Homo sapiens
114908	transmembrane protein 123(TMEM123)	Homo sapiens
90332	exocyst complex component 3 like 2(EXOC3L2)	Homo sapiens
221	aldehyde dehydrogenase 3 family member B1(ALDH3B1)	Homo sapiens
254173	tubulin tyrosine ligase like 10(TTLL10)	Homo sapiens
57567	zinc finger protein 319(ZNF319)	Homo sapiens
57568	signal induced proliferation associated 1 like 2(SIPA1L2)	Homo sapiens
8417	syntaxin 7(STX7)	Homo sapiens
226	aldolase, fructose-bisphosphate A(ALDOA)	Homo sapiens
8419	beaded filament structural protein 2(BFSP2)	Homo sapiens
147686	zinc finger protein 418(ZNF418)	Homo sapiens
147687	zinc finger protein 417(ZNF417)	Homo sapiens
230	aldolase, fructose-bisphosphate C(ALDOC)	Homo sapiens
254187	testis specific 10 interacting protein(TSGA10IP)	Homo sapiens
8424	gamma-butyrobetaine hydroxylase 1(BBOX1)	Homo sapiens
221416	chromosome 6 open reading frame 223(C6orf223)	Homo sapiens
8428	serine/threonine kinase 24(STK24)	Homo sapiens
240	arachidonate 5-lipoxygenase(ALOX5)	Homo sapiens
8433	undifferentiated embryonic cell transcription factor 1(UTF1)	Homo sapiens
114928	G protein-coupled receptor associated sorting protein 2(GPRASP2)	Homo sapiens
8434	reversion inducing cysteine rich protein with kazal motifs(RECK)	Homo sapiens
90355	chromosome 5 open reading frame 30(C5orf30)	Homo sapiens
221424	leucine rich repeat containing 73(LRRC73)	Homo sapiens
8436	serum deprivation response(SDPR)	Homo sapiens
114932	Morf4 family associated protein 1 like 1(MRFAP1L1)	Homo sapiens
147700	kinesin light chain 3(KLC3)	Homo sapiens
247	arachidonate 15-lipoxygenase, type B(ALOX15B)	Homo sapiens
57592	zinc finger protein 687(ZNF687)	Homo sapiens
8440	NCK adaptor protein 2(NCK2)	Homo sapiens
57594	homeobox and leucine zipper encoding(HOMEZ)	Homo sapiens
250	alkaline phosphatase, placental(ALPP)	Homo sapiens
57595	PDZ domain containing 4(PDZD4)	Homo sapiens
90362	family with sequence similarity 110 member B(FAM110B)	Homo sapiens
57596	brain enriched guanylate kinase associated(BEGAIN)	Homo sapiens
8445	dual specificity tyrosine phosphorylation regulated kinase 2(DYRK2)	Homo sapiens
221443	O-acyl-ADP-ribose deacylase 1(OARD1)	Homo sapiens
8449	DEAH-box helicase 16(DHX16)	Homo sapiens
258	ameloblastin(AMBN)	Homo sapiens
8452	cullin 3(CUL3)	Homo sapiens
262	adenosylmethionine decarboxylase 1(AMD1)	Homo sapiens
8456	forkhead box N1(FOXN1)	Homo sapiens
57610	RAN binding protein 10(RANBP10)	Homo sapiens
8458	transcription termination factor 2(TTF2)	Homo sapiens
8462	Kruppel like factor 11(KLF11)	Homo sapiens
270	adenosine monophosphate deaminase 1(AMPD1)	Homo sapiens
8463	TEA domain transcription factor 2(TEAD2)	Homo sapiens
271	adenosine monophosphate deaminase 2(AMPD2)	Homo sapiens
57616	teashirt zinc finger homeobox 3(TSHZ3)	Homo sapiens
196883	adenylate cyclase 4(ADCY4)	Homo sapiens
272	adenosine monophosphate deaminase 3(AMPD3)	Homo sapiens
114960	testis specific 13(TSGA13)	Homo sapiens
273	amphiphysin(AMPH)	Homo sapiens
275	aminomethyltransferase(AMT)	Homo sapiens
8468	FK506 binding protein 6(FKBP6)	Homo sapiens
57621	zinc finger and BTB domain containing 2(ZBTB2)	Homo sapiens
8470	sorbin and SH3 domain containing 2(SORBS2)	Homo sapiens
90390	mediator complex subunit 30(MED30)	Homo sapiens
279	amylase, alpha 2A (pancreatic)(AMY2A)	Homo sapiens
57624	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2(NYAP2)	Homo sapiens
8473	O-linked N-acetylglucosamine (GlcNAc) transferase(OGT)	Homo sapiens
114971	protein tyrosine phosphatase, mitochondrial 1(PTPMT1)	Homo sapiens
164127	coiled-coil domain containing 185(CCDC185)	Homo sapiens
57630	SH3 domain containing ring finger 1(SH3RF1)	Homo sapiens
57631	leucine rich repeats and calponin homology domain containing 2(LRCH2)	Homo sapiens
8479	HIRA interacting protein 3(HIRIP3)	Homo sapiens
123169	LEO1 homolog, Paf1/RNA polymerase II complex component(LEO1)	Homo sapiens
288	ankyrin 3(ANK3)	Homo sapiens
57633	leucine rich repeat neuronal 1(LRRN1)	Homo sapiens
57634	E1A binding protein p400(EP400)	Homo sapiens
147744	transmembrane protein 190(TMEM190)	Homo sapiens
287015	tripartite motif containing 42(TRIM42)	Homo sapiens
221472	FYVE, RhoGEF and PH domain containing 2(FGD2)	Homo sapiens
90407	transmembrane protein 41A(TMEM41A)	Homo sapiens
57639	coiled-coil domain containing 146(CCDC146)	Homo sapiens
8487	gem nuclear organelle associated protein 2(GEMIN2)	Homo sapiens
254251	ligand dependent nuclear receptor corepressor like(LCORL)	Homo sapiens
139562	OTU deubiquitinase 6A(OTUD6A)	Homo sapiens
8490	regulator of G-protein signaling 5(RGS5)	Homo sapiens
90410	intraflagellar transport 20(IFT20)	Homo sapiens
301	annexin A1(ANXA1)	Homo sapiens
114991	zinc finger protein 618(ZNF618)	Homo sapiens
8495	PPFIA binding protein 2(PPFIBP2)	Homo sapiens
114990	vasorin(VASN)	Homo sapiens
8496	PPFIA binding protein 1(PPFIBP1)	Homo sapiens
90417	kinetochore localized astrin/SPAG5 binding protein(KNSTRN)	Homo sapiens
8498	RAN binding protein 3(RANBP3)	Homo sapiens
8500	PTPRF interacting protein alpha 1(PPFIA1)	Homo sapiens
8501	solute carrier family 43 member 1(SLC43A1)	Homo sapiens
57654	UV stimulated scaffold protein A(UVSSA)	Homo sapiens
8502	plakophilin 4(PKP4)	Homo sapiens
310	annexin A7(ANXA7)	Homo sapiens
57655	GRAM domain containing 1A(GRAMD1A)	Homo sapiens
8503	phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)	Homo sapiens
311	annexin A11(ANXA11)	Homo sapiens
8504	peroxisomal biogenesis factor 3(PEX3)	Homo sapiens
313	acyloxyacyl hydrolase(AOAH)	Homo sapiens
57658	calcium binding and coiled-coil domain 1(CALCOCO1)	Homo sapiens
90427	Bcl2 modifying factor(BMF)	Homo sapiens
57659	zinc finger and BTB domain containing 4(ZBTB4)	Homo sapiens
164153	ubiquitin like 4B(UBL4B)	Homo sapiens
57664	pleckstrin homology domain containing A4(PLEKHA4)	Homo sapiens
8513	lipase F, gastric type(LIPF)	Homo sapiens
321	amyloid beta precursor protein binding family A member 2(APBA2)	Homo sapiens
221504	zinc finger and BTB domain containing 9(ZBTB9)	Homo sapiens
8517	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma(IKBKG)	Homo sapiens
344387	cyclin dependent kinase like 4(CDKL4)	Homo sapiens
326	autoimmune regulator(AIRE)	Homo sapiens
327	acylaminoacyl-peptide hydrolase(APEH)	Homo sapiens
8520	histone acetyltransferase 1(HAT1)	Homo sapiens
90441	zinc finger protein 622(ZNF622)	Homo sapiens
57673	BEN domain containing 3(BEND3)	Homo sapiens
329	baculoviral IAP repeat containing 2(BIRC2)	Homo sapiens
8522	growth arrest specific 7(GAS7)	Homo sapiens
331	X-linked inhibitor of apoptosis(XIAP)	Homo sapiens
332	baculoviral IAP repeat containing 5(BIRC5)	Homo sapiens
139596	uracil phosphoribosyltransferase homolog(UPRT)	Homo sapiens
335	apolipoprotein A1(APOA1)	Homo sapiens
336	apolipoprotein A2(APOA2)	Homo sapiens
337	apolipoprotein A4(APOA4)	Homo sapiens
57684	zinc finger and BTB domain containing 26(ZBTB26)	Homo sapiens
221527	zinc finger and BTB domain containing 12(ZBTB12)	Homo sapiens
8533	COP9 signalosome subunit 3(COPS3)	Homo sapiens
246100	cancer/testis antigen 1A(CTAG1A)	Homo sapiens
8536	calcium/calmodulin dependent protein kinase I(CAMK1)	Homo sapiens
8538	BARX homeobox 2(BARX2)	Homo sapiens
8539	apoptosis inhibitor 5(API5)	Homo sapiens
347	apolipoprotein D(APOD)	Homo sapiens
57692	MAGE family member E1(MAGEE1)	Homo sapiens
8540	alkylglycerone phosphate synthase(AGPS)	Homo sapiens
57693	zinc finger protein 317(ZNF317)	Homo sapiens
8541	PTPRF interacting protein alpha 3(PPFIA3)	Homo sapiens
147807	zinc finger protein 524(ZNF524)	Homo sapiens
8543	LIM domain only 4(LMO4)	Homo sapiens
729428	G antigen 12B(GAGE12B)	Homo sapiens
57696	DEAD-box helicase 55(DDX55)	Homo sapiens
8545	CGG triplet repeat binding protein 1(CGGBP1)	Homo sapiens
353	adenine phosphoribosyltransferase(APRT)	Homo sapiens
57698	shootin 1(SHTN1)	Homo sapiens
147808	zinc finger protein 784(ZNF784)	Homo sapiens
8548	basic leucine zipper nuclear factor 1(BLZF1)	Homo sapiens
356	Fas ligand(FASLG)	Homo sapiens
8550	mitogen-activated protein kinase-activated protein kinase 5(MAPKAPK5)	Homo sapiens
358	aquaporin 1 (Colton blood group)(AQP1)	Homo sapiens
57703	CWC22 spliceosome associated protein homolog(CWC22)	Homo sapiens
360	aquaporin 3 (Gill blood group)(AQP3)	Homo sapiens
8553	basic helix-loop-helix family member e40(BHLHE40)	Homo sapiens
100131997	family with sequence similarity 27 member E3(FAM27E3)	Homo sapiens
729447	G antigen 2A(GAGE2A)	Homo sapiens
57709	solute carrier family 7 member 14(SLC7A14)	Homo sapiens
8557	titin-cap(TCAP)	Homo sapiens
139628	forkhead box R2(FOXR2)	Homo sapiens
8559	pre-mRNA processing factor 18(PRPF18)	Homo sapiens
57713	Scm-like with four mbt domains 2(SFMBT2)	Homo sapiens
90480	GADD45G interacting protein 1(GADD45GIP1)	Homo sapiens
8562	density regulated re-initiation and release factor(DENR)	Homo sapiens
372	archain 1(ARCN1)	Homo sapiens
373	tripartite motif containing 23(TRIM23)	Homo sapiens
374	amphiregulin(AREG)	Homo sapiens
377	ADP ribosylation factor 3(ARF3)	Homo sapiens
8573	calcium/calmodulin dependent serine protein kinase(CASK)	Homo sapiens
381	ADP ribosylation factor 5(ARF5)	Homo sapiens
8574	aldo-keto reductase family 7 member A2(AKR7A2)	Homo sapiens
382	ADP ribosylation factor 6(ARF6)	Homo sapiens
57727	nuclear receptor coactivator 5(NCOA5)	Homo sapiens
8575	protein activator of interferon induced protein kinase EIF2AK2(PRKRA)	Homo sapiens
147837	zinc finger protein 563(ZNF563)	Homo sapiens
8576	serine/threonine kinase 16(STK16)	Homo sapiens
123264	solute carrier family 51 beta subunit(SLC51B)	Homo sapiens
8578	scavenger receptor class F member 1(SCARF1)	Homo sapiens
387	ras homolog family member A(RHOA)	Homo sapiens
389	ras homolog family member C(RHOC)	Homo sapiens
196996	GRAM domain containing 2(GRAMD2)	Homo sapiens
392	Rho GTPase activating protein 1(ARHGAP1)	Homo sapiens
90507	secernin 2(SCRN2)	Homo sapiens
398	Rho GDP dissociation inhibitor gamma(ARHGDIG)	Homo sapiens
164237	WAP four-disulfide core domain 13(WFDC13)	Homo sapiens
123283	threonyl-tRNA synthetase like 2(TARSL2)	Homo sapiens
402	ADP ribosylation factor like GTPase 2(ARL2)	Homo sapiens
403	ADP ribosylation factor like GTPase 3(ARL3)	Homo sapiens
254359	zinc finger DHHC-type containing 24(ZDHHC24)	Homo sapiens
406	aryl hydrocarbon receptor nuclear translocator like(ARNTL)	Homo sapiens
407	arrestin 3(ARR3)	Homo sapiens
408	arrestin beta 1(ARRB1)	Homo sapiens
8601	regulator of G-protein signaling 20(RGS20)	Homo sapiens
409	arrestin beta 2(ARRB2)	Homo sapiens
90523	muscular LMNA interacting protein(MLIP)	Homo sapiens
410	arylsulfatase A(ARSA)	Homo sapiens
90522	Yip1 interacting factor homolog B, membrane trafficking protein(YIF1B)	Homo sapiens
246175	CCR4-NOT transcription complex subunit 6 like(CNOT6L)	Homo sapiens
8607	RuvB like AAA ATPase 1(RUVBL1)	Homo sapiens
729515	transmembrane protein 242(TMEM242)	Homo sapiens
57761	tribbles pseudokinase 3(TRIB3)	Homo sapiens
147872	coiled-coil domain containing 155(CCDC155)	Homo sapiens
57763	ankyrin repeat family A member 2(ANKRA2)	Homo sapiens
246176	growth arrest specific 2 like 2(GAS2L2)	Homo sapiens
8615	USO1 vesicle transport factor(USO1)	Homo sapiens
8618	calcium dependent secretion activator(CADPS)	Homo sapiens
246184	cell division cycle 26(CDC26)	Homo sapiens
8621	cyclin dependent kinase 13(CDK13)	Homo sapiens
429	achaete-scute family bHLH transcription factor 1(ASCL1)	Homo sapiens
8623	acetylserotonin O-methyltransferase-like(ASMTL)	Homo sapiens
8624	proteasome assembly chaperone 1(PSMG1)	Homo sapiens
432	asialoglycoprotein receptor 1(ASGR1)	Homo sapiens
8626	tumor protein p63(TP63)	Homo sapiens
115123	membrane associated ring-CH-type finger 3(MARCH3)	Homo sapiens
435	argininosuccinate lyase(ASL)	Homo sapiens
8629	Jrk helix-turn-helix protein(JRK)	Homo sapiens
8631	src kinase associated phosphoprotein 1(SKAP1)	Homo sapiens
439	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)(ASNA1)	Homo sapiens
440	asparagine synthetase (glutamine-hydrolyzing)(ASNS)	Homo sapiens
57786	RB associated KRAB zinc finger(RBAK)	Homo sapiens
443	aspartoacylase(ASPA)	Homo sapiens
8636	SS nuclear autoantigen 1(SSNA1)	Homo sapiens
65981	caprin family member 2(CAPRIN2)	Homo sapiens
444	aspartate beta-hydroxylase(ASPH)	Homo sapiens
65983	GRAM domain containing 3(GRAMD3)	Homo sapiens
8639	amine oxidase, copper containing 3(AOC3)	Homo sapiens
65982	zinc finger and SCAN domain containing 18(ZSCAN18)	Homo sapiens
65985	acetoacetyl-CoA synthetase(AACS)	Homo sapiens
147906	dishevelled binding antagonist of beta catenin 3(DACT3)	Homo sapiens
65986	zinc finger and BTB domain containing 10(ZBTB10)	Homo sapiens
8646	chordin(CHRD)	Homo sapiens
8648	nuclear receptor coactivator 1(NCOA1)	Homo sapiens
8649	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3(LAMTOR3)	Homo sapiens
8651	suppressor of cytokine signaling 1(SOCS1)	Homo sapiens
65997	RAS like family 11 member B(RASL11B)	Homo sapiens
8654	phosphodiesterase 5A(PDE5A)	Homo sapiens
8655	dynein light chain LC8-type 1(DYNLL1)	Homo sapiens
463	zinc finger homeobox 3(ZFHX3)	Homo sapiens
66000	transmembrane protein 108(TMEM108)	Homo sapiens
147923	zinc finger protein 420(ZNF420)	Homo sapiens
66002	cytochrome P450 family 4 subfamily F member 12(CYP4F12)	Homo sapiens
468	activating transcription factor 4(ATF4)	Homo sapiens
8664	eukaryotic translation initiation factor 3 subunit D(EIF3D)	Homo sapiens
472	ATM serine/threonine kinase(ATM)	Homo sapiens
8665	eukaryotic translation initiation factor 3 subunit F(EIF3F)	Homo sapiens
8666	eukaryotic translation initiation factor 3 subunit G(EIF3G)	Homo sapiens
164312	leucine rich repeat neuronal 4(LRRN4)	Homo sapiens
57819	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM2)	Homo sapiens
8667	eukaryotic translation initiation factor 3 subunit H(EIF3H)	Homo sapiens
475	antioxidant 1 copper chaperone(ATOX1)	Homo sapiens
57820	cyclin B1 interacting protein 1(CCNB1IP1)	Homo sapiens
90589	zinc finger protein 625(ZNF625)	Homo sapiens
8669	eukaryotic translation initiation factor 3 subunit J(EIF3J)	Homo sapiens
221662	RNA binding motif protein 24(RBM24)	Homo sapiens
254428	solute carrier family 41 member 1(SLC41A1)	Homo sapiens
480	ATPase Na+/K+ transporting subunit alpha 4(ATP1A4)	Homo sapiens
8674	vesicle associated membrane protein 4(VAMP4)	Homo sapiens
8675	syntaxin 16(STX16)	Homo sapiens
90594	zinc finger protein 439(ZNF439)	Homo sapiens
8676	syntaxin 11(STX11)	Homo sapiens
8677	syntaxin 10(STX10)	Homo sapiens
57830	keratin associated protein 5-8(KRTAP5-8)	Homo sapiens
8678	beclin 1(BECN1)	Homo sapiens
486	FXYD domain containing ion transport regulator 2(FXYD2)	Homo sapiens
147947	zinc finger protein 542, pseudogene(ZNF542P)	Homo sapiens
147945	NLR family pyrin domain containing 4(NLRP4)	Homo sapiens
401898	zinc finger protein 833, pseudogene(ZNF833P)	Homo sapiens
131566	discoidin, CUB and LCCL domain containing 2(DCBLD2)	Homo sapiens
8687	keratin 38(KRT38)	Homo sapiens
8688	keratin 37(KRT37)	Homo sapiens
8689	keratin 36(KRT36)	Homo sapiens
8692	hyaluronoglucosaminidase 2(HYAL2)	Homo sapiens
66037	boule homolog, RNA binding protein(BOLL)	Homo sapiens
66036	myotubularin related protein 9(MTMR9)	Homo sapiens
8697	cell division cycle 23(CDC23)	Homo sapiens
8698	sphingosine-1-phosphate receptor 4(S1PR4)	Homo sapiens
509	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1(ATP5C1)	Homo sapiens
8704	beta-1,4-galactosyltransferase 2(B4GALT2)	Homo sapiens
115201	autophagy related 4A cysteine peptidase(ATG4A)	Homo sapiens
513	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit(ATP5D)	Homo sapiens
514	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit(ATP5E)	Homo sapiens
516	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 (subunit 9)(ATP5G1)	Homo sapiens
57862	zinc finger protein 410(ZNF410)	Homo sapiens
115207	potassium channel tetramerization domain containing 12(KCTD12)	Homo sapiens
8711	tyrosine kinase non receptor 1(TNK1)	Homo sapiens
522	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6(ATP5J)	Homo sapiens
8715	nucleolar protein 4(NOL4)	Homo sapiens
90637	zinc finger AN1-type containing 2A(ZFAND2A)	Homo sapiens
8717	TNFRSF1A associated via death domain(TRADD)	Homo sapiens
527	ATPase H+ transporting V0 subunit c(ATP6V0C)	Homo sapiens
8723	sorting nexin 4(SNX4)	Homo sapiens
139793	PAGE family member 3(PAGE3)	Homo sapiens
221718	long intergenic non-protein coding RNA 518(LINC00518)	Homo sapiens
8726	embryonic ectoderm development(EED)	Homo sapiens
8727	catenin alpha like 1(CTNNAL1)	Homo sapiens
535	ATPase H+ transporting V0 subunit a1(ATP6V0A1)	Homo sapiens
8731	RNA guanine-7 methyltransferase(RNMT)	Homo sapiens
